baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YAL024C	20.097780361391	0.643418381915145	0.528119965821564	1.21831860856504	0.223102921268078	0.617986418517544
YAL025C	86.8082464481292	1.09067478016566	0.342104382402723	3.18813448838466	0.00143193918811075	0.0214210965149777
YAL026C	60.9858729108249	-0.00488333796447766	0.363484984392286	-0.0134347722028797	0.989280925135571	0.997240627858654
YAL027W	9.18244217230338	0.0305771066450816	0.600048353592662	0.0509577377589783	0.959359197150774	0.993068088967023
YAL028W	1.62945522802959	-0.478647673894588	0.588611056747583	-0.813181588092133	0.416113954080907	NA
YAL029C	65.9455646527601	0.0790664006864262	0.366560911076905	0.215697850745024	0.829223276643407	0.960282783004115
YAL030W	8.49382249038296	-0.450155326210623	0.611222938499949	-0.736483037294682	0.461436786870958	0.807945759824924
YAL031C	14.830215574342	-0.44379467837142	0.551348635973365	-0.804925684794583	0.420862565624411	0.782430590014333
YAL032C	18.6979917531308	0.622067697182713	0.527064913685791	1.18024873413137	0.237901301337485	0.630782114002438
YAL033W	20.948738653276	0.0126704577520469	0.52378918390914	0.0241899950233505	0.980701058611429	0.996050440662454
YAL034C	2.35404948054308	-0.320880740513665	0.632968684848304	-0.506945680244144	0.612192932731856	0.885733794208609
YAL034C-B	0	NA	NA	NA	NA	NA
YAL034W-A	7.62040286250231	-0.868656239346917	0.622748797555909	-1.39487421373773	0.163053774329545	0.530117958246768
YAL035W	509.726229823994	0.46161552576089	0.267035300239443	1.72866855186177	0.0838684328487791	0.372558940369877
YAL036C	100.115405790295	0.103065302710324	0.336911034151141	0.305912517736322	0.759671254804024	0.943273573035264
YAL037W	0	NA	NA	NA	NA	NA
YAL038W	15917.1678478689	-0.623784618657357	0.235673225403272	-2.64682005174737	0.00812525770430614	0.0769575690257951
YAL039C	27.0216437121606	0.653614768831479	0.469397471443983	1.39245481408495	0.163784715661672	0.531194926991085
YAL040C	68.6444744891672	2.24269967151363	0.403738530888743	5.55483190216405	2.77879043037008e-08	2.00870504715753e-06
YAL041W	54.6622845034649	0.449544582751713	0.378054137716058	1.1891010781354	0.234399894185078	0.625473941884028
YAL042W	112.597838856577	-0.42532581093615	0.314769315802423	-1.35123021712549	0.17662169784598	0.557995871632334
YAL043C	62.2088096793134	0.197182671055355	0.369393469662257	0.533801182884046	0.593479095296801	0.877942896240798
YAL044C	110.144586365904	-1.7344002347894	0.323888950238673	-5.35492252363448	8.55930845125893e-08	5.48023989105938e-06
YAL044W-A	11.7719446925453	-0.523885228094191	0.582902332496032	-0.898753013821158	0.368784232298979	0.742820968291806
YAL046C	16.1478205753928	-0.587744885733505	0.539741139593777	-1.08893846071444	0.276181024293959	0.664439518366528
YAL047C	11.2899523805051	-0.544365517605428	0.595078890343037	-0.914778740162713	0.360307797858985	0.739085025766274
YAL048C	8.98781156429484	-0.211647101361564	0.605402516071094	-0.349597326973629	0.726640917269059	0.929187890621786
YAL049C	57.5148899586185	1.05282682294185	0.380142084871674	2.76956134256288	0.00561318332427048	0.0593711593020855
YAL051W	25.3138638372071	-0.0140905126557196	0.468710323376359	-0.0300623049098183	0.976017363458063	0.995975575574585
YAL053W	102.112332550908	-0.112337018472212	0.316837606778952	-0.354557085613218	0.722921430668993	0.928696819174024
YAL054C	0.490536228049444	-0.332851098195607	0.393199414295666	-0.846519821988646	0.397262820756061	NA
YAL055W	3.00025721261236	-0.158888329329895	0.641948805481305	-0.247509346498071	0.804514059024597	0.954605705611139
YAL058W	18.1467046524861	0.137688208408073	0.517429167482806	0.266100593203703	0.790161738154968	0.951988089284305
YAL059W	17.7091795759576	0.917312371536263	0.558847126392125	1.64143703745667	0.1007067268861	0.411544193707379
YAL060W	67.0822933920765	-0.168486991676147	0.381611468509607	-0.441514486800348	0.658840576132336	0.908341213490519
YAL061W	17.1787226227805	-2.56379391454962	0.560919763867403	-4.57069634500467	4.86106226985563e-06	0.000197820517117345
YAL062W	9.46620614672749	1.10240819100067	0.611859551534683	1.80173405520201	0.0715872573712577	0.335612865121623
YAL064C-A	0	NA	NA	NA	NA	NA
YAL067C	2.16579014695027	0.596167112233708	0.614279554142007	0.970514333765191	0.331790183686516	0.714464781194013
YAL067W-A	0	NA	NA	NA	NA	NA
YAL069W	0	NA	NA	NA	NA	NA
YAR002C-A	148.822857380142	-0.341190017172051	0.295528983552872	-1.15450610992614	0.248292735078486	0.639652131962861
YAR002W	66.6664217390121	0.317130633126675	0.362145198184464	0.875700229401193	0.381193020615141	0.752977739610821
YAR003W	14.2064403185564	0.471734542780833	0.553458940357721	0.852338824766175	0.394026063215063	0.764799173629236
YAR007C	92.8009051200234	-0.0709475659994501	0.347983680231311	-0.203881877311861	0.838445807436018	0.960586407318343
YAR008W	9.05411651665992	0.295373259455563	0.614056157834138	0.48101994530498	0.6305023231938	0.894966643800363
YAR014C	26.8040755749386	-0.325498697282194	0.471169302390867	-0.690831715119189	0.489671302334583	0.822291398275265
YAR015W	122.984477096522	1.50526261981755	0.364212470644864	4.13292443598205	3.58176508950865e-05	0.00107497724748878
YAR018C	17.5617341605743	1.04712215396014	0.531885252356064	1.96869935634003	0.0489876252715183	0.268230988088747
YAR019C	10.4659626063369	0.800751938437074	0.59710991651206	1.34104612282201	0.179905478153763	0.563172168249264
YAR019W-A	0	NA	NA	NA	NA	NA
YAR035W	1.48841649889215	-0.307575739504524	0.579142662531955	-0.531088036512167	0.59535777412841	NA
YAR047C	0	NA	NA	NA	NA	NA
YAR064W	0	NA	NA	NA	NA	NA
