	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expression_lfc	logBaseMean
YBL018C	79.2489747808	0.939798171153	0.36371608451	2.58387850078	0.00976962037782	0.027936694568	0.939798171153	1.89899365259
YBL020W	479.140511158	0.60788615589	0.205282177575	2.96122227009	0.0030642071361	0.0103782118329	0.60788615589	2.68046289185
YBL024W	1119.59767793	1.1219336564	0.181705283902	6.174469076	6.63861728906e-10	1.09356132071e-08	1.1219336564	3.04906198906
YBL028C	121.042094133	0.777669990765	0.313469805933	2.48084496831	0.013107136646	0.0356608582621	0.777669990765	2.08293642875
YBL029C-A	43.2706162412	-1.64549422047	0.423650811747	-3.88408135861	0.000102717510947	0.000543840038294	-1.64549422047	1.63619308028
YBL030C	2214.37581	0.489194397541	0.17229663042	2.83925690448	0.00452187349166	0.0144263048742	0.489194397541	3.34525132854
YBL033C	181.423337954	-0.579253216894	0.269950190922	-2.14577813379	0.0318906839816	0.0750466485386	-0.579253216894	2.25869315314
YBL042C	494.875981769	1.19742212459	0.208140555669	5.75294959092	8.76996423712e-09	1.19183813982e-07	1.19742212459	2.69449637634
YBL043W	99.7514897806	4.33890166471	0.403395847607	10.7559403262	5.55643838662e-27	7.55119976742e-25	4.33890166471	1.99891939056
YBL045C	739.891468809	0.528134579831	0.22825992667	2.31374200253	0.0206818784283	0.0523889520672	0.528134579831	2.86916801979
YBL046W	129.724623598	-0.612739352448	0.305780486061	-2.0038536806	0.0450857365524	0.0997095459312	-0.612739352448	2.11302241924
YBL050W	280.044382091	-0.817002749979	0.244600415069	-3.34015275382	0.000837323203789	0.00339931959358	-0.817002749979	2.44722686481
YBL051C	280.914567862	0.731022305798	0.230144431217	3.17636321649	0.00149134099925	0.00556412468905	0.731022305798	2.44857426173
YBL052C	180.581185623	-0.712939991989	0.263380380938	-2.70688344155	0.00679180986935	0.0204544478946	-0.712939991989	2.2566725001
YBL054W	629.270885132	1.75016979282	0.239022912652	7.32218419315	2.43966963287e-13	6.5330266622e-12	1.75016979282	2.79883763844
YBL061C	705.12606476	0.551758297759	0.19139280362	2.88285811861	0.00394084898189	0.0128663393787	0.551758297759	2.84826676853
