	expression_lfc	efficiency_lfc	d_expression	d_efficiency
YLR413W	0.874339650335	-1.2993013852	Increase	Decrease
YML002W	0.451790339483	3.26880600786	Increase	Increase
YML017W	0.88148510248	-1.3179066211	Increase	Decrease
YML056C	2.17054503747	-1.658605523	Increase	Decrease
YML123C	-2.97036435588	-1.72260478353	Decrease	Decrease
YMR011W	2.46049437959	-1.05034878617	Increase	Decrease
YMR012W	0.515536499852	-1.09129821248	Increase	Decrease
YMR070W	1.75363686475	-1.37387282121	Increase	Decrease
YMR079W	1.16204530108	-1.08600645485	Increase	Decrease
YMR121C	2.07557181768	-1.77113533545	Increase	Decrease
YMR186W	1.64485057325	-1.86860422062	Increase	Decrease
YMR189W	-1.35234721958	-2.26292886119	Decrease	Decrease
YMR196W	-1.02045445634	-1.48616599571	Decrease	Decrease
YMR203W	0.690911880057	-0.895737172231	Increase	Decrease
YMR205C	1.38166265579	-1.78735333339	Increase	Decrease
YMR229C	1.84668041122	-1.32375423543	Increase	Decrease
YMR266W	1.07521579797	-1.48249989996	Increase	Decrease
YMR305C	1.53347824882	-1.0276915912	Increase	Decrease
YMR307W	0.984798796109	-1.27012702969	Increase	Decrease
YMR308C	1.15042317546	-1.06129107288	Increase	Decrease
YMR309C	1.64007458687	-1.05277311989	Increase	Decrease
YMR316W	0.712186483233	2.22151941486	Increase	Increase
YNL014W	-1.157908991	-6.84988891292	Decrease	Decrease
YNL085W	0.4099313423	-0.840637343788	Increase	Decrease
YNL087W	0.753875515	-1.04728707971	Increase	Decrease
YNL101W	-0.917586670068	1.50089342503	Decrease	Increase
YNL112W	1.93939308316	-1.24657210812	Increase	Decrease
YNL131W	-0.692782406613	1.09990543021	Decrease	Increase
YNL142W	0.715941019286	-4.45099609306	Increase	Decrease
YNL143C	-7.42036368908	11.658453185	Decrease	Increase
YNL159C	-1.17269274111	1.9788332159	Decrease	Increase
YNL190W	1.78124814021	-1.56557736062	Increase	Decrease
YNL216W	0.509346247348	-1.10822706281	Increase	Decrease
YNL303W	-3.07477112765	9.65193670577	Decrease	Increase
YNR016C	1.14567756456	-1.4480884558	Increase	Decrease
YNR060W	2.67477619444	3.36508697331	Increase	Increase
YOL004W	0.440728036177	-1.35501645348	Increase	Decrease
YOL090W	1.19164985659	-1.19298546128	Increase	Decrease
YOL125W	1.10311297659	-1.53153158763	Increase	Decrease
YOL130W	0.837700077367	-2.26029382537	Increase	Decrease
YOR027W	0.806826025231	-1.00958917484	Increase	Decrease
YOR032C	0.747917177392	4.39290807218	Increase	Increase
YOR085W	0.659654076831	-1.02949070347	Increase	Decrease
YOR151C	0.809302174514	-0.915210792472	Increase	Decrease
YOR162C	-0.835716453391	2.11646988851	Decrease	Increase
YOR168W	0.515112016909	-0.802518414878	Increase	Decrease
YOR175C	-1.68984657922	1.02830148932	Decrease	Increase
YOR178C	-2.81166544917	7.61573799678	Decrease	Increase
YOR204W	1.82751483659	-1.61708335894	Increase	Decrease
YOR208W	0.641700066825	2.69378430796	Increase	Increase
YOR220W	-1.27711202673	1.49617020198	Decrease	Increase
YOR273C	-2.28978065678	2.37783190837	Decrease	Increase
YOR303W	-0.509581810051	1.29857893974	Decrease	Increase
YOR310C	1.48289494376	-0.993658034806	Increase	Decrease
YOR317W	-1.35387072196	-1.21992195236	Decrease	Decrease
YOR326W	0.909650429937	-1.14175746743	Increase	Decrease
YOR335C	0.776806037447	-0.942337014682	Increase	Decrease
YOR341W	1.78988301086	-1.25126880865	Increase	Decrease
YOR350C	1.37474585222	-1.87688282413	Increase	Decrease
YOR368W	-2.0111384662	2.46536635208	Decrease	Increase
YPL085W	0.749793832554	-1.10825155014	Increase	Decrease
YPL088W	1.53225309432	3.28161586	Increase	Increase
YPL095C	-0.637029349601	1.66754151217	Decrease	Increase
YPL106C	0.752610906404	-1.07472246376	Increase	Decrease
YPL119C	-1.14784814532	3.15706097788	Decrease	Increase
YPL128C	1.31490744299	-1.84959828297	Increase	Decrease
YPL160W	1.69117201198	-1.62915255265	Increase	Decrease
YPL165C	-1.05579636681	4.55312531452	Decrease	Increase
YPL217C	1.88796570635	-1.1441596157	Increase	Decrease
YPL226W	1.58905110403	-1.22400324289	Increase	Decrease
YPL231W	1.01560921076	-1.29912545492	Increase	Decrease
YPL240C	1.99435329363	-1.8701915515	Increase	Decrease
YPR065W	2.09194668234	-2.15816292127	Increase	Decrease
YPR074C	0.961802667515	-0.987080715958	Increase	Decrease
YPR127W	-0.506122990314	1.31902414242	Decrease	Increase
YPR145W	1.37912332388	-0.976032775223	Increase	Decrease
