	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	efficiency_lfc	logBaseMean
YDR213W	67.6436270081	-1.54037216339	0.484962456797	9.92662012193	0.00162905394569	0.04025244204	-1.54037216339	1.83022688614
YDR222W	56.6122830337	1.72003021596	0.589002752637	8.96589671455	0.0027506566085	0.060050479212	1.72003021596	1.75291066926
YDR226W	986.621551757	-1.07036303158	0.25161946678	18.0025140101	2.20613427133e-05	0.0017132208427	-1.07036303158	2.99415059796
YDR232W	363.561447617	-1.24635772758	0.336542154707	13.589216935	0.000227488506109	0.0103808082531	-1.24635772758	2.56057782401
YDR234W	182.902607916	-1.16504402052	0.36586882597	10.0909243672	0.00149001343694	0.0378561201596	-1.16504402052	2.26221989791
YDR238C	656.314083822	-0.872806007021	0.298224569622	8.55647620609	0.00344295201129	0.0691197467656	-0.872806007021	2.81711172387
YDR285W	17.3360490055	-4.44922659654	1.62472805607	8.76008900116	0.00307894023461	0.0641268931622	-4.44922659654	1.23895012598
YDR301W	103.963339739	-1.18349267138	0.406591130018	8.43873549097	0.00367311572521	0.0723444097184	-1.18349267138	2.01688022241
YDR309C	71.5659483548	-1.61828139521	0.525911311876	9.26251543126	0.00233891558626	0.053647025852	-1.61828139521	1.8547064307
YDR332W	40.0566960547	2.50157801432	0.996794788183	8.05951609049	0.00452652718349	0.0820206725648	2.50157801432	1.60267512508
YDR341C	1072.80106712	-0.870667495573	0.271263915316	10.2799343628	0.00134484730983	0.0356614145183	-0.870667495573	3.03051919684
YDR356W	48.0438543771	-1.7650470473	0.633822325334	7.63678308445	0.00571898216701	0.096268752616	-1.7650470473	1.68163784194
YDR382W	2750.30608829	-1.47240469277	0.455486974756	10.3361363465	0.0013045078769	0.0350817698358	-1.47240469277	3.43938103022
YDR395W	633.08363222	-0.901777122048	0.277745960575	10.5364538803	0.00117042773367	0.0322966759403	-0.901777122048	2.80146108539
YDR400W	58.4122879834	-2.80485629746	0.644268132413	21.2904371617	3.94695574458e-06	0.000425810080147	-2.80485629746	1.7665042177
YDR444W	43.7248187746	4.00918137351	1.40108204104	14.6897885728	0.000126731083502	0.00695868858502	4.00918137351	1.64072801814
YDR453C	27.1913908869	2.53298149963	0.998236623392	8.36273305499	0.00382994103295	0.0740929006418	2.53298149963	1.43443142307
YDR457W	335.629363179	-1.03367107887	0.375872972433	7.55642974211	0.00597963382584	0.0993185649621	-1.03367107887	2.52585994891
YDR497C	367.771623076	-1.12784604523	0.301199719754	13.9605781801	0.000186684240361	0.00906085295182	-1.12784604523	2.56557821643
YDR502C	713.069981484	-1.11095518884	0.2593348856	18.2293580376	1.95836805356e-05	0.00159869342716	-1.11095518884	2.85313215409
YEL026W	766.560644739	-0.864476167294	0.304565543606	8.00717190822	0.00465924458658	0.0827701097145	-0.864476167294	2.88454651879
YEL031W	948.847646362	-1.20606708391	0.298337563162	16.2407171388	5.57822365831e-05	0.00383838276032	-1.20606708391	2.97719648465
YEL034W	3832.34140904	-1.93725053395	0.283443510606	45.9181060264	1.2330107299e-11	8.37830790969e-09	-1.93725053395	3.58346419181
YEL042W	450.38701157	-0.883592360019	0.307750624508	8.21053630877	0.00416478396258	0.0777998818577	-0.883592360019	2.65358585768
YEL050W-A	4.20444124092	-9.43080511212	2.44014612775	12.1831484667	0.000482231808917	0.0174760807551	-9.43080511212	0.623708287385
YEL063C	231.881269566	-1.02993569882	0.357635139825	8.21763354347	0.00414852645171	0.0777634130742	-1.02993569882	2.3652656695
YER001W	507.214083437	-0.896529496318	0.312922789282	8.19938368292	0.00419046220321	0.0780114812898	-0.896529496318	2.70519130377
YER036C	1485.3914811	-1.07375119693	0.31339871106	11.6678572069	0.000635892083581	0.0214318752636	-1.07375119693	3.17184092885
YER037W	67.4885370023	-2.54686849565	0.729883389029	14.9872291676	0.000108241230601	0.00645136978721	-2.54686849565	1.82923001373
YER043C	3010.27518981	-1.18868345083	0.304953384124	15.0892271396	0.000102546837256	0.00619382897025	-1.18868345083	3.47860619923
YER064C	353.925874403	0.973831472674	0.346164990334	7.92223499672	0.00488309129916	0.0853520395569	0.973831472674	2.5489123137
YER078C	89.1797848466	1.3109844893	0.456232255534	8.34424036834	0.00386911897106	0.0745834422931	1.3109844893	1.95026642024
YER081W	376.713258716	2.88957189987	0.457427185978	41.9292160611	9.4637976926e-11	5.1445204257e-08	2.88957189987	2.5760109058
