	expression_lfc	efficiency_lfc	d_expression	d_efficiency
YBR221C	-0.587926964842	-0.189986907948	Decrease	Decrease
YBR221W-A			No change	No change
YBR222C	-0.837240083286	-0.276557767297	Decrease	Decrease
YBR223C	-0.15172649221	-0.250261341649	Decrease	Decrease
YBR224W	0.340163302609	0.0398415491938	Increase	Increase
YBR225W	-0.258005988392	0.414947125347	Decrease	Increase
YBR227C	-0.597876126738	0.622440050525	Decrease	Increase
YBR228W	-0.962742013119	0.887675961587	Decrease	Increase
YBR229C	-1.14227289157	0.251763002702	Decrease	Increase
YBR230C	-1.19899878622	-0.492456691923	Decrease	Decrease
YBR230W-A	-0.0982459305768	-0.174266080404	Decrease	Decrease
YBR231C	-0.146640148393	-0.417492859367	Decrease	Decrease
YBR233W	0.13917643798	0.345101368203	Increase	Increase
YBR233W-A	-0.753686837764	0.301241582142	Decrease	Increase
YBR234C	0.0928068935035	-0.303105273992	Increase	Decrease
YBR235W	0.489696100118	-0.730735561249	Increase	Decrease
YBR236C	-0.513581858649	0.0541262611124	Decrease	Increase
YBR237W	0.162711120711	0.20255361007	Increase	Increase
YBR238C	1.78159937499	-1.08336220527	Increase	Decrease
YBR239C	1.02347092604	1.20038227072	Increase	Increase
YBR240C	-0.629739689836	-1.68854655711	Decrease	Decrease
YBR241C	-1.18291372021	-1.1038549074	Decrease	Decrease
YBR242W	1.11716537316	-0.291420516684	Increase	Decrease
YBR243C	0.0545778478159	-0.286225464363	Increase	Decrease
YBR244W	2.06990090198	-0.367922583975	Increase	Decrease
YBR246W	0.753686525346	-0.227221413394	Increase	Decrease
YBR247C	1.39481098517	-0.224861785009	Increase	Decrease
YBR248C	-0.0631417299398	-0.367439933687	Decrease	Decrease
YBR249C	0.433198672475	-0.686794431887	Increase	Decrease
YBR250W	-1.27310717777	0.531474037401	Decrease	Increase
YBR251W	-0.0297412655587	0.564334757204	Decrease	Increase
YBR252W	1.34909834634	-0.616688733515	Increase	Decrease
YBR253W	0.226073791861	-0.746366841553	Increase	Decrease
YBR254C	0.401431893838	0.120177052265	Increase	Increase
YBR255C-A	-0.400928088105	1.69578503926	Decrease	Increase
YBR255W	-0.137309303362	0.187553218101	Decrease	Increase
YBR256C	-0.792437756238	-0.282866441881	Decrease	Decrease
YBR257W	0.881536472865	0.0441089493516	Increase	Increase
YBR258C	0.769150748224	-2.1148960267	Increase	Decrease
YBR259W	0.201055819797	0.201450008521	Increase	Increase
YBR260C	-0.176113486496	-0.0478336859116	Decrease	Decrease
YBR261C	1.13052100719	-0.424182118575	Increase	Decrease
YBR262C	0.942258766334	-0.622421867851	Increase	Decrease
YBR263W	0.52691351757	-0.602561862507	Increase	Decrease
YBR264C	0.0284785100264	-0.436719167708	Increase	Decrease
YBR265W	0.165427106784	0.0849539307202	Increase	Increase
YBR267W	1.38286632705	0.29316189765	Increase	Increase
YBR268W	-0.454714598384	0.393935839421	Decrease	Increase
YBR269C	-0.821983282042	-0.0327166051179	Decrease	Decrease
YBR270C	-0.186399828011	-0.138094149889	Decrease	Decrease
YBR271W	0.396548155796	0.20603145554	Increase	Increase
YBR272C	-0.409498497726	-0.137575924663	Decrease	Decrease
YBR273C	-0.310161917961	-0.409378833208	Decrease	Decrease
YBR274W	0.84632289501	0.406924420634	Increase	Increase
YBR275C	-0.0582156515521	-0.153104323871	Decrease	Decrease
YBR276C	0.197902106078	-0.827847389781	Increase	Decrease
YBR278W	-0.456513438788	1.27864585789	Decrease	Increase
