baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YAL060W	168.722086878979	0.119057315008071	0.399655764049416	0.0880902061137903	0.766619249056016	0.936691894328727
YAL061W	69.6780480539504	1.50813028002296	0.745621188543892	3.7700329458288	0.0521786050772008	0.339285762200555
YAL062W	39.901193055196	2.15697774210019	0.753590839991687	9.18651274890616	0.00243804948155168	0.0556858696710712
YAL064C-A	0.433331667976651	-0.141068857399098	3.94133606355958	0.000625579362271367	0.980045723356219	0.99841239733216
YAL067C	13.5038246680567	1.18009656048108	1.52272356499286	0.646478511710001	0.421374524269812	0.807134003868403
YAL067W-A	0	NA	NA	NA	NA	NA
YAL069W	0.0290263977093505	0.768521531020982	6.99319641937954	0.0405314956665404	0.840444960374389	0.96014380882696
YAR002C-A	352.530159374733	-0.561763196939094	0.338228996032869	2.7463718299488	0.0974753885008035	0.455688357617873
YAR002W	195.662311559736	0.12825313414383	0.378361430204074	0.114466499439146	0.735115286330349	0.927696845737958
YAR003W	62.0380832040546	0.454491594827182	0.563446857456632	0.663030864359037	0.415491969036295	0.805253736095087
YAR007C	205.268014181263	-0.631861638291718	0.378478492485498	2.79236501767667	0.0947143483592088	0.448879742569287
YAR008W	31.9586386425358	-0.296570222672072	0.675483808151593	0.194588509991846	0.659124766722051	0.901479799795142
YAR014C	80.4345552364448	-0.416698861183799	0.473892291101743	0.763786025385777	0.382146286602198	0.79045742458513
YAR015W	412.330869694442	-0.831592417196647	0.434749132966172	3.61619520196892	0.0572195931116814	0.357650831118592
YAR018C	71.3229712905353	1.3814420717142	0.536631243778695	7.05304851082865	0.007913046767492	0.123870764544495
YAR019C	41.8558554083237	1.33130507573462	0.713663775607863	3.65300337402786	0.0559682000751185	0.353368824100388
YAR019W-A	0.112878993840157	1.43087794903664	6.96576480034293	0.0847013695432945	0.771024553610223	0.936836706101163
YAR035W	7.80599357996677	-0.0949365084253394	1.38859554214464	0.00475157657140102	0.945044001123753	0.994592327501512
YAR047C	0.0562141774524247	2.54041667127505	6.94040601634336	0.176307650536724	0.674565779902925	0.907504782642472
YAR064W	0.252740423053676	3.55217968209134	5.74960998940828	0.399895755861817	0.527143097780756	0.857637294330128
YBL001C	86.6533065729704	-0.673530995797254	0.490787251761687	1.8774234823539	0.170627274943693	0.58853417931086
YBL003C	691.354827958856	-1.32129470940535	0.543368860926196	5.8592331006305	0.0154955441725854	0.176606322658601
YBL004W	417.385327617406	-0.810274085900835	0.388927853639994	4.34088589394069	0.0372075587795314	0.291861889647233
YBL005W	77.4823138646786	1.49624321220365	0.513561052098758	8.8168649977525	0.00298459000596618	0.0631293045619928
YBL006C	62.2132023709722	-0.0451222149983087	0.496189671330676	0.0082266653430807	0.92773020255936	0.990988677758436
YBL007C	409.270423120519	-0.725906667015238	0.33814982291075	4.59289970329303	0.0321046556684334	0.272850930048103
YBL008W	56.9512344935191	-0.856409142755029	0.511977385722225	2.79652217374423	0.0944690169416711	0.44844275884936
YBL009W	104.090284293502	0.980504147327727	0.5139611141638	3.74597536397515	0.0529348243546876	0.342563934752478
YBL010C	37.0663913587765	-0.13415343900487	0.610743067085053	0.0481466454254331	0.826320213478272	0.955304259416751
YBL011W	173.78565772218	0.0215907220802953	0.379793468819673	0.00325118696341065	0.954529916037824	0.994592327501512
YBL013W	16.2340185256807	-0.579038687923301	0.917898168242107	0.391044628602693	0.53175081117606	0.860568194833362
YBL014C	71.4164181662074	0.929823078758135	0.782583311940314	1.55568395150134	0.212298293413894	0.639719247781555
YBL015W	88.8810692442952	0.612220825245665	0.463763078582898	1.75887984938541	0.184764294568436	0.608504500425257
YBL016W	2.35671217166219	-0.73661052958728	2.47209557476196	0.203140596628671	0.652197700464522	0.900032264964019
YBL017C	337.899700441449	-1.15037917153579	0.337561098604024	11.5701692420319	0.000670183182353913	0.0222141206053407
YBL018C	27.042588386878	-1.09893406473257	0.754903890401132	2.05511244103733	0.15169605581657	0.560965822733928
YBL019W	49.1551285140839	0.458834053306405	0.62188373887845	0.548873196247584	0.458778471353404	0.829647295501366
YBL020W	141.251561209066	-0.120818848804451	0.377482422031244	0.102170869188143	0.74923989676595	0.931144601801679
YBL021C	13.8356907059938	-1.09763753357555	0.996053576389411	1.19753039425495	0.273815832167807	0.704431076036061
YBL022C	283.700820343613	-0.524703205880081	0.298556285067948	3.08342969752314	0.0790935770422762	0.415276647691269
YBL023C	111.715241230601	-0.25886615085818	0.398076392029981	0.421704418250144	0.516087795667346	0.851685870445565
YBL024W	477.189024283053	-0.65488916166083	0.30602674543782	4.57236382583685	0.0324917020560102	0.273413146093609
YBL025W	21.9637658608662	0.389886491947646	0.801858498641961	0.23876630159409	0.625098580014623	0.892107083475844
YBL026W	41.331206861797	0.591548618835862	0.56088638323097	1.12318574190274	0.289233514030726	0.718261024335781
YBL027W	3361.80341786256	-0.431628241042683	0.403469235856602	1.14266378489727	0.285090159243947	0.71239539329874
YBL028C	63.3310917490273	-0.249046544198498	0.56411438721145	0.194503651963558	0.659194404774575	0.901479799795142
YBL029C-A	16.6437440662778	0.484193489171288	0.84583260601478	0.331770958737657	0.564618139502268	0.872268634720956
YBL029W	78.6287332538264	0.345748415881133	0.627901724777504	0.305586844457252	0.580400985168891	0.876162109241348
YBL030C	1322.99422305381	-0.164075797216817	0.35886221069243	0.208804852040032	0.647705765627088	0.89892830766735
YBL031W	36.1858456912314	0.156197073178353	0.761139569823418	0.0415224933963927	0.838532699607244	0.959896732229354
YBL032W	241.225560798407	-0.512365978715649	0.383910397746439	1.77269374481824	0.183049057957451	0.608366186499262
YBL033C	64.3473769785236	0.533800064768395	0.551667826034184	0.928000384836523	0.335383063430141	0.75511738657538
YBL042C	166.541846840345	-1.48021214151594	0.356371552369384	17.2741057551132	3.23566310605046e-05	0.00240946091020415
YBL043W	19.6239106599012	-1.27829960135963	1.6884539180005	-0.2466835443416	1	1
YBL044W	0.0041892087687252	-0.25767126085295	7.06415409919745	-0.0114353707949366	1	1
YBL045C	436.766288154327	-0.204178982977699	0.359010603777848	0.323198206656315	0.569691949394888	0.872268634720956
YBL046W	40.8763115305492	0.30115590490987	0.620699394087043	0.234178837538565	0.628442447028501	0.892771413492943
YBL047C	479.847061069578	-0.530218555861429	0.304250139759414	3.02921670938834	0.0817774866677539	0.420968198414688
YBL049W	7.10903901804178	0.413339309908667	1.89186691409786	0.0579158230438708	0.809820918003626	0.951304179411975
YBL050W	127.158621839364	-0.384770289143042	0.512273531175513	0.558022319857969	0.455058179191633	0.827990830551773
YBL051C	164.973019967684	-0.935158767564415	0.38237621875184	6.00250452209418	0.0142855848557401	0.169555544270313
YBL052C	39.8903177930347	0.588830563904322	0.712117860297293	0.693109400590494	0.405108767729614	0.799732615888657
YBL054W	153.883571743429	-0.291582792532828	0.502029976361417	0.339980438786881	0.559840513236687	0.871321422619358
YBL056W	282.236993747728	0.0503483501612869	0.297599911717557	0.0286695070332144	0.865544377193569	0.969523848016534
YBL057C	80.2494594778111	0.264942828211186	0.465789078510611	0.324862160629245	0.568700211681532	0.872268634720956
YBL058W	303.75563791749	0.223565025056372	0.318141001522699	0.493082631920032	0.482555425996	0.842121969820471
YBL059C-A	26.2598082090552	0.0445829124658483	0.675285418661959	0.00432714267565615	0.94755216684323	0.994592327501512
YBL059W	19.3140627718461	-1.01511181037702	0.801727494114006	1.58246254993841	0.208406339363646	0.634320750717121
YBL060W	64.3181675834943	-0.75450008643334	0.567874407885949	1.75782463589126	0.184896082651176	0.608504500425257
YBL061C	166.344203729757	0.153361729828223	0.40026994189532	0.147813447487479	0.700633724965805	0.916948900341947
YBL063W	45.7055650468154	-0.993910965035171	0.568396366978706	3.03786915341829	0.081342627143677	0.420318664882134
YBL064C	158.96777737138	0.933219471944001	0.396094939331393	5.56662304632604	0.0183060327549775	0.197638021065494
YBL065W	0.0388638084135445	2.29815600324819	6.94441772941238	0.154548860983539	0.694225661661095	0.914571451659522
YBL066C	33.1203458943709	0.878216704438655	0.659511231363854	1.82987774659458	0.176141986128019	0.596599066521977
YBL067C	87.8327827966337	-1.19768007694721	0.4714419601185	6.48656562593111	0.0108692765170465	0.149205523097638
YBL068W	224.533613563909	0.319134737019119	0.335896560227621	0.901257043417445	0.342444875112777	0.761676459914331
YBL069W	137.706633672966	0.582941590460933	0.407720417164183	2.07833980184834	0.149402596135972	0.557116751126125
YBL070C	0.828155576606811	3.23832392554899	3.53879996607302	0.516807644551758	0.472206635905622	0.837766081195483
YBL071C	1.99781888488251	7.83001654513383	3.00046418029358	4.8280482128018	0.0280003119682554	0.253682826432394
YBL071W-A	34.5240758618735	0.0365476492283285	0.687685827635507	0.00287106906392864	0.957267912779189	0.994592327501512
YBL072C	4566.72397973757	-0.371190542876999	0.346481910528815	1.14632425152503	0.284319936495968	0.71239539329874
YBL074C	16.8660257539774	0.498505809253566	0.896435682631168	0.313657256985614	0.57544456969256	0.873287738930418
YBL075C	28.8018511715151	2.38252267975101	1.82804308617256	1.93443717981695	0.164273811558631	0.579113125572449
YBL076C	2059.45558931328	-1.08488593608271	0.310637548225746	12.140386227865	0.000493415566157421	0.0176727981271847
YBL078C	12.6656303909466	0.171989260873534	0.91587482229303	0.035456146508281	0.850643032883723	0.964111770007779
YBL079W	279.962295239601	-0.134365702293676	0.311483290491252	0.186253691949943	0.666053101391826	0.905312234656138
YBL080C	45.499180054403	1.35455910023027	0.588510124729187	5.57160126990862	0.0182540601715605	0.197638021065494
YBL081W	98.6984515430112	-0.231003040203122	0.434638965952321	0.282769563735179	0.594891665869958	0.880006516995561
YBL082C	123.375975523226	-0.214451984661169	0.454001115727974	0.221788970394229	0.637680180510764	0.895476407763682
YBL084C	48.9106819918443	-0.967534787963566	0.542962349388504	3.10663536634277	0.0779738851204605	0.412153668188894
YBL085W	103.588690691179	0.158531335774609	0.409358273195074	0.150425305395508	0.698129252161484	0.915938952661432
YBL086C	65.0566612313751	0.392968968999297	0.495111373997734	0.630071984281173	0.427328910824543	0.811939866914441
YBL087C	963.955811816523	-0.479414141647661	0.364837721283011	1.72113463423482	0.189547058128206	0.612590848980336
