	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	occupancy_lfc	logBaseMean
YCL040W	191.271312844	-2.31513367525	0.294960130251	-7.84897156535	4.19462700321e-15	8.75765168236e-13	-2.31513367525	2.28164983878
YCL054W	105.714429169	1.2261791702	0.334765186037	3.66280372436	0.000249469688843	0.00552052279183	1.2261791702	2.02413426906
YCL059C	71.5706289071	1.01648284905	0.360957000776	2.81607739112	0.00486139545039	0.0537889883705	1.01648284905	1.85473483347
YCL064C	175.61309934	-5.04232744802	0.371126073507	-13.5865621091	4.81155617291e-42	5.77627318558e-39	-5.04232744802	2.24455690769
YCR004C	186.921280102	-1.42924466985	0.314897369732	-4.5387634424	5.65850711655e-06	0.000226434593114	-1.42924466985	2.27165874656
YCR005C	158.047090464	-2.78546344209	0.336318032038	-8.28223043887	1.20889374388e-16	2.90255387906e-14	-2.78546344209	2.19878650519
YCR011C	108.767400205	-1.07967956193	0.313351239057	-3.44558893456	0.000569816430099	0.0102481591661	-1.07967956193	2.036498748
YCR012W	11993.1369458	-0.889087463189	0.267898746229	-3.31874439766	0.000904231563584	0.0151293378687	-0.889087463189	4.07893279278
YCR021C	9.83060083945	-2.69919818216	0.625950337195	-4.31216028137	1.61667165945e-05	0.000550585624729	-2.69919818216	0.992580062419
YCR037C	52.5644623253	1.77494519818	0.405960402213	4.37221263085	1.22993650476e-05	0.000432197395672	1.77494519818	1.72069222643
YCR061W	60.7562712526	-1.32789926148	0.374209106672	-3.54854876006	0.000387360271711	0.00775043343648	-1.32789926148	1.78359111239
YCR069W	57.6777281282	-1.12263519651	0.376794113483	-2.97943931802	0.00288776421429	0.0362063805666	-1.12263519651	1.76100814559
YCR087C-A	43.5466173564	1.3587354055	0.415559826047	3.26965053005	0.00107680427016	0.017202555757	1.3587354055	1.63895442523
YCR088W	294.227791684	-1.21148428292	0.282541559628	-4.28780914396	1.80444028431e-05	0.000593487825018	-1.21148428292	2.4686836922
YDL008W	11.1672237916	-1.76695639707	0.593676560882	-2.97629469225	0.00291754359137	0.0362954516212	-1.76695639707	1.0479452195
YDL022W	284.490081463	-1.67147622952	0.314724643477	-5.31091626972	1.09075438505e-07	6.89184546972e-06	-1.67147622952	2.45406712964
YDL031W	108.580520446	0.987066463245	0.329415647173	2.99641644748	0.00273173087069	0.034611534673	0.987066463245	2.03575191898
YDL039C	18.818409681	3.64106304729	0.614694488476	5.92337025229	3.15409601848e-09	2.70463733584e-07	3.64106304729	1.27458291899
YDL046W	104.112821369	-1.49958254634	0.337045464275	-4.44919960447	8.61908868672e-06	0.000323350499013	-1.49958254634	2.01750421565
YDL051W	155.210547559	0.981922813628	0.295573800275	3.32209016061	0.000893458187614	0.0150013504088	0.981922813628	2.19092123104
YDL054C	21.8388413114	-2.07490015692	0.513902327588	-4.03753796302	5.40151058083e-05	0.0015046822405	-2.07490015692	1.33922959258
YDL063C	78.134848084	1.68857114629	0.362658423587	4.65609244529	3.22267275024e-06	0.000138172094167	1.68857114629	1.8928447721
YDL066W	362.250352294	-0.736406978243	0.270706449529	-2.7203156021	0.00652196359179	0.0662124083886	-0.736406978243	2.5590088165
YDL067C	9.79006240935	1.97817218099	0.649577123552	3.04532304058	0.00232430511941	0.0310656008672	1.97817218099	0.990785460337
YDL078C	66.3628451488	-1.88139318053	0.365772966252	-5.1436091623	2.69509931577e-07	1.54069844218e-05	-1.88139318053	1.82192499709
YDL086W	87.51228772	0.893245405559	0.34299829396	2.60422696348	0.00920817564531	0.0834295461298	0.893245405559	1.94206903719
YDL124W	93.8588515925	-2.05270324207	0.345737747822	-5.93716843186	2.89986714121e-09	2.57873370594e-07	-2.05270324207	1.97247523611
YDL125C	104.772430164	-1.19162432963	0.340108867848	-3.50365557116	0.000458918507662	0.00892197033924	-1.19162432963	2.02024701735
YDL128W	58.0443140083	-1.02482576786	0.373279286121	-2.74546648037	0.00604249398585	0.0624561015066	-1.02482576786	1.76375968289
YDL130W-A	19.5822776091	-2.06552274128	0.550116911687	-3.7546977695	0.00017355076577	0.00406696236263	-2.06552274128	1.29186320307
YDL131W	86.7908259833	-1.71331680637	0.336411967483	-5.09291277354	3.52603946413e-07	1.96884203567e-05	-1.71331680637	1.93847382154
YDL150W	38.5678710075	1.38170986293	0.436652750033	3.16432190757	0.00155444762539	0.0226883206599	1.38170986293	1.58622566595
YDL179W	34.4100080065	-1.27222024258	0.440410787764	-2.88871271532	0.00386822299739	0.0446519395035	-1.27222024258	1.53668477367
YDL182W	75.6989689383	-2.84278559583	0.379318832716	-7.49444886634	6.65775161783e-14	1.22963551034e-11	-2.84278559583	1.87908996421
YDL192W	262.380555027	-2.14487704491	0.269460299118	-7.95990003697	1.72178324805e-15	3.93714436055e-13	-2.14487704491	2.41893164641
YDL231C	30.9271704393	3.89862064932	0.578445704799	6.73982124334	1.58581609574e-11	1.95258689532e-09	3.89862064932	1.49034018774
YDL237W	46.8548343742	-1.18605236003	0.413763383613	-2.86649908379	0.00415039360674	0.0473401190014	-1.18605236003	1.67075440704
YDR001C	53.749466532	-3.67481901889	0.442365977471	-8.30719179604	9.7993488212e-17	2.47665647576e-14	-3.67481901889	1.7303741582
YDR019C	41.6733456495	-1.99641686161	0.417702555015	-4.77951795516	1.75715980216e-06	8.27243271568e-05	-1.99641686161	1.6198583682
